expocode	Date/Time	Latitude	Longitude	Depth water [m]	Temp [C]	Sal interp	PPPP interp [hPa]	Bathy depth interp/grid [m]	Distance [km]	xCO2air_interp_[umol_per_mol]	fCO2water_SST_wet [uatm]	Algorithm	Flag [#]	windspeed	wind_moment2	wind_moment3	year	month	day	hour	minute	second	Temp [C]_copy	nan_col_sal	nan_col_pressure	nan_col_pressure_equ
Ostergarnsholm	2015-01-28 10:00:00	57.4233	18.9944	0	3.0	35	1000.6	24	53	404.541	580.163	8	2	14.446130731330657	208.69069310669602	3014.773035031336	2015	1	28	10	0	0	3.0			
Ostergarnsholm	2015-01-28 10:30:00	57.4233	18.9944	0	3.02	35	1000.6	24	53	404.541	577.475	8	2	14.446130731330657	208.69069310669602	3014.773035031336	2015	1	28	10	30	0	3.02			
Ostergarnsholm	2015-01-28 11:00:00	57.4233	18.9944	0	3.06	35	1000.6	24	53	404.541	571.302	8	2	14.446130731330657	208.69069310669602	3014.773035031336	2015	1	28	11	0	0	3.06			
Ostergarnsholm	2015-01-28 11:30:00	57.4233	18.9944	0	3.06	35	1000.6	24	53	404.541	567.9159999999999	8	2	14.446130731330657	208.69069310669602	3014.773035031336	2015	1	28	11	30	0	3.06			
Ostergarnsholm	2015-01-28 12:00:00	57.4233	18.9944	0	3.04	35	1000.6	24	53	404.541	562.638	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	12	0	0	3.04			
Ostergarnsholm	2015-01-28 12:30:00	57.4233	18.9944	0	3.02	35	994.6	24	53	404.541	554.286	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	12	30	0	3.02			
Ostergarnsholm	2015-01-28 13:00:00	57.4233	18.9944	0	3.0	35	994.6	24	53	404.541	548.809	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	13	0	0	3.0			
Ostergarnsholm	2015-01-28 13:30:00	57.4233	18.9944	0	2.98	35	994.6	24	53	404.541	548.011	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	13	30	0	2.98			
Ostergarnsholm	2015-01-28 14:00:00	57.4233	18.9944	0	2.98	35	994.6	24	53	404.541	548.509	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	14	0	0	2.98			
Ostergarnsholm	2015-01-28 14:30:00	57.4233	18.9944	0	3.06	35	994.6	24	53	404.541	554.586	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	14	30	0	3.06			
Ostergarnsholm	2015-01-28 15:00:00	57.4233	18.9944	0	3.18	35	994.6	24	53	404.541	562.258	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	15	0	0	3.18			
Ostergarnsholm	2015-01-28 15:30:00	57.4233	18.9944	0	3.24	35	994.6	24	53	404.541	567.339	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	15	30	0	3.24			
Ostergarnsholm	2015-01-28 16:00:00	57.4233	18.9944	0	3.33	35	994.6	24	53	404.541	573.615	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	16	0	0	3.33			
Ostergarnsholm	2015-01-28 16:30:00	57.4233	18.9944	0	3.31	35	994.6	24	53	404.541	572.719	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	16	30	0	3.31			
Ostergarnsholm	2015-01-28 17:00:00	57.4233	18.9944	0	3.24	35	994.6	24	53	404.541	569.828	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	17	0	0	3.24			
Ostergarnsholm	2015-01-28 17:30:00	57.4233	18.9944	0	3.15	35	994.6	24	53	404.541	561.261	8	2	15.554085161088338	241.92956519838842	3762.993060080807	2015	1	28	17	30	0	3.15			
Ostergarnsholm	2015-01-28 18:00:00	57.4233	18.9944	0	3.09	35	994.6	24	53	404.541	551.5	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	18	0	0	3.09			
Ostergarnsholm	2015-01-28 18:30:00	57.4233	18.9944	0	3.06	35	986.3	24	53	404.541	546.738	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	18	30	0	3.06			
Ostergarnsholm	2015-01-28 19:00:00	57.4233	18.9944	0	3.09	35	986.3	24	53	404.541	545.0459999999999	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	19	0	0	3.09			
Ostergarnsholm	2015-01-28 19:30:00	57.4233	18.9944	0	3.15	35	986.3	24	53	404.541	546.342	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	19	30	0	3.15			
Ostergarnsholm	2015-01-28 20:00:00	57.4233	18.9944	0	3.24	35	986.3	24	53	404.541	550.528	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	20	0	0	3.24			
Ostergarnsholm	2015-01-28 20:30:00	57.4233	18.9944	0	3.38	35	986.3	24	53	404.541	560.2919999999999	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	20	30	0	3.38			
Ostergarnsholm	2015-01-28 21:00:00	57.4233	18.9944	0	3.46	35	986.3	24	53	404.541	565.672	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	21	0	0	3.46			
Ostergarnsholm	2015-01-28 21:30:00	57.4233	18.9944	0	3.35	35	986.3	24	53	404.541	555.212	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	21	30	0	3.35			
Ostergarnsholm	2015-01-28 22:00:00	57.4233	18.9944	0	3.31	35	986.3	24	53	404.541	551.924	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	22	0	0	3.31			
Ostergarnsholm	2015-01-28 22:30:00	57.4233	18.9944	0	3.24	35	986.3	24	53	404.541	547.64	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	22	30	0	3.24			
Ostergarnsholm	2015-01-28 23:00:00	57.4233	18.9944	0	3.2	35	986.3	24	53	404.541	544.5509999999999	8	2	13.149675625947834	172.91396906764658	2273.76260443473	2015	1	28	23	0	0	3.2			
