YEAR,MONTH,NET FLUX TgC,MISSING FLUX TgC,30.5 DAY FLUX TgC,GROSS DOWNWARD FLUX TgC,MISSING GROSS DOWNWARD FLUX TgC,30.5 DAY GROSS DOWNWARD FLUX TgC,GROSS UPWARD FLUX TgC,MISSING GROSS UPWARD FLUX TgC,30.5 DAY GROSS UPWARD FLUX TgC,ST1_Kelvin_mean,WS1_mean,windu10_moment2,windu10_moment3,P1,air_pressure,OKS1,V_gas,SFUG_krig,pco2_sst,FT1_Kelvin_mean,FT1_stddev,FT1_N,ST1_stddev,ST1_N,SC,scfnd,skin_solubility,fnd_solubility,PH2O,salinity_skin,ST1_mean,FT1_mean,OBPC,pgas_air,OAPC1,OK3,OF,OSFC,OIC1,dpCO2,Dconc,OFA11,OW1
2010,01,-257.35065,-28.892638,-253.19984,7457.89479,837.294374,7337.60616,7200.54413,808.401736,7084.40632,292.622696,7.35249276,78.6201151,874.566491,0.00759713,1009.72371,34.8613354,387.529215,370.476604,19.5828329,292.792696,nan,nan,nan,nan,801.182231,793.687787,0.03504668,0.03488952,25.0297167,34.9613354,19.4726967,19.6426967,371.407150,376.607793,376.607793,17.5871740,-0.0234989,0.15454840,0.15870919,-5.2006426,-0.0041607,nan,0.42983153
2010,02,-229.51969,-24.538148,-250.01251,6637.02012,709.569558,7229.61120,6407.50043,685.031409,6979.59868,292.701337,7.18957904,77.2536955,856.724573,0.00369199,1009.90139,34.8562854,388.132490,371.521002,19.6685763,292.871337,nan,nan,nan,nan,800.733602,793.221985,0.03502202,0.03486496,25.2205971,34.9562854,19.5513378,19.7213378,372.339927,377.187769,377.187769,17.2282056,-0.0231670,0.15457241,0.15881977,-4.8478425,-0.0042473,nan,0.40594650
2010,03,-237.99105,-24.309561,-234.15248,7625.65299,778.921195,7502.65859,7387.66193,754.611634,7268.50610,292.716294,7.48081207,79.9791347,897.974813,0.00412093,1010.88077,34.8519196,388.389475,371.979420,19.6974967,292.886294,nan,nan,nan,nan,805.199205,797.604084,0.03510862,0.03495076,25.3924236,34.9519196,19.5662949,19.7362949,372.560979,377.751660,377.751660,17.5840003,-0.0217651,0.15556477,0.15944945,-5.1906811,-0.0038846,nan,0.45617516
2010,04,-262.10473,-30.899967,-266.47314,7303.72901,861.048897,7425.45782,7041.62427,830.148929,7158.98468,292.663334,7.32258873,79.6693485,896.833899,0.00592222,1011.36118,34.8731877,388.606529,370.416148,19.6796985,292.833334,nan,nan,nan,nan,806.981189,799.362951,0.03515589,0.03499768,25.3282643,34.9731877,19.5133343,19.6833343,370.460858,378.174303,378.174303,17.3527267,-0.0248976,0.15482041,0.15986090,-7.7134445,-0.0050404,nan,0.43375434
2010,05,-297.86406,-38.444439,-293.05980,7593.76472,980.104897,7471.28465,7295.90065,941.660457,7178.22484,292.659949,7.34743094,80.8288181,919.424887,0.00735840,1012.03263,34.8874728,388.779659,367.643608,19.6689055,292.829949,nan,nan,nan,nan,799.784777,792.271226,0.03502268,0.03486567,25.1624675,34.9874728,19.5099492,19.6799492,367.798475,378.658904,378.658904,17.7217480,-0.0275181,0.15298340,0.15948432,-10.860429,-0.0065009,nan,0.43978017
2010,06,-244.47159,-31.208678,-248.54611,7388.80467,943.237730,7511.95142,7144.33308,912.029051,7263.40530,292.902746,7.52173106,81.6281241,924.417848,0.00618461,1013.34632,34.9009892,388.491615,368.867569,19.8518963,293.072746,nan,nan,nan,nan,782.677455,775.355560,0.03464931,0.03449528,25.3682456,35.0009892,19.7527461,19.9227461,369.914446,378.792531,378.792531,18.1788010,-0.0234262,0.15188716,0.15775153,-8.8780853,-0.0058643,nan,0.46902738
2010,07,-359.14985,-47.438306,-353.35711,7790.00345,1028.94255,7664.35823,7430.85359,981.504247,7311.00111,292.966068,7.56735391,83.3620240,957.529251,0.00413006,1014.26888,34.8728819,387.650968,366.951735,19.9387739,293.136068,nan,nan,nan,nan,773.879498,766.680714,0.03447318,0.03432063,25.3032177,34.9728819,19.8160680,19.9860680,367.611002,378.345573,378.345573,18.4311256,-0.0333049,0.15014210,0.15678583,-10.734570,-0.0066437,nan,0.48609873
2010,08,-280.02358,-35.577029,-275.50708,7482.13340,950.605914,7361.45383,7202.10981,915.028885,7085.94675,292.912445,7.29055430,80.0765632,910.725199,0.00441437,1013.80715,34.8549504,386.824598,367.690931,19.8527433,293.082445,nan,nan,nan,nan,776.269272,769.049955,0.03453394,0.03438094,25.2241753,34.9549504,19.7624458,19.9324458,368.844753,377.396998,377.396998,17.6315180,-0.0259767,0.15121735,0.15674136,-8.5522442,-0.0055240,nan,0.44334712
2010,09,-190.71722,-24.036147,-193.89584,7220.17757,909.961114,7340.51386,7029.46035,885.924966,7146.61802,292.835972,7.25894773,79.7837859,906.416184,0.00450003,1013.06321,34.8192222,386.851898,371.414283,19.7850427,293.005972,nan,nan,nan,nan,780.034826,772.771422,0.03463335,0.03447961,25.1409955,34.9192222,19.6859729,19.8559729,372.429757,377.178152,377.178152,17.5231659,-0.0182582,0.15336474,0.15714330,-4.7483942,-0.0037785,nan,0.43020682
2010,10,-276.31811,-34.717942,-271.86137,7401.07209,929.906427,7281.69996,7124.75397,895.188485,7009.83858,292.711505,7.39350848,79.0396060,885.913956,0.00669116,1012.97187,34.8566975,387.824671,368.009098,19.7003299,292.881505,nan,nan,nan,nan,786.575450,779.246307,0.03477302,0.03461820,24.9849772,34.9566975,19.5615059,19.7315059,368.423360,378.153319,378.153319,17.3689663,-0.0257228,0.15270076,0.15821116,-9.7299587,-0.0055103,nan,0.44373198
