YEAR,MONTH,NET FLUX TgC,MISSING FLUX TgC,30.5 DAY FLUX TgC,GROSS DOWNWARD FLUX TgC,MISSING GROSS DOWNWARD FLUX TgC,30.5 DAY GROSS DOWNWARD FLUX TgC,GROSS UPWARD FLUX TgC,MISSING GROSS UPWARD FLUX TgC,30.5 DAY GROSS UPWARD FLUX TgC,ST1_Kelvin_mean,WS1_mean,windu10_moment2,windu10_moment3,P1,air_pressure,OKS1,V_gas,SFUG_krig,pco2_sst,FT1_Kelvin_mean,FT1_stddev,FT1_N,ST1_stddev,ST1_N,SC,scfnd,skin_solubility,fnd_solubility,PH2O,salinity_skin,ST1_mean,FT1_mean,OBPC,pgas_air,OAPC1,OK3,OF,OSFC,OIC1,dpCO2,Dconc,OFA11,OW1
2010,01,-258.09696,-29.281979,-253.93410,7462.55848,846.652683,7342.19464,7204.46152,817.370703,7088.26053,292.607705,7.35554807,78.6687935,875.255461,0.00759713,1009.72778,34.8608785,387.529854,370.455011,19.5686118,292.777705,nan,nan,nan,nan,801.737944,794.239201,0.03506045,0.03490319,25.0053067,34.9608785,19.4577051,19.6277051,371.373512,376.619294,376.619294,17.5922222,-0.0235670,0.15459796,0.15877512,-5.2457821,-0.0041771,nan,0.43021587
2010,02,-229.52560,-24.543947,-250.01896,6637.17639,709.735646,7229.78142,6407.65078,685.191699,6979.76246,292.701057,7.18972955,77.2555391,856.745876,0.00369199,1009.90139,34.8563287,388.132445,371.521125,19.6683133,292.871057,nan,nan,nan,nan,800.744074,793.232376,0.03502227,0.03486521,25.2201404,34.9563287,19.5510570,19.7210570,372.339788,377.187900,377.187900,17.2285984,-0.0231676,0.15457346,0.15882096,-4.8481114,-0.0042475,nan,0.40595667
2010,03,-238.80771,-24.788305,-234.95597,7636.23381,792.643140,7513.06875,7397.42610,767.854834,7278.11277,292.695632,7.48865356,80.0921407,899.431015,0.00412093,1010.88225,34.8526936,388.391635,371.930697,19.6782994,292.865632,nan,nan,nan,nan,805.977764,798.376524,0.03512766,0.03496966,25.3590533,34.9526936,19.5456329,19.7156329,372.488617,377.767085,377.767085,17.6043562,-0.0218398,0.15562634,0.15954072,-5.2784677,-0.0039143,nan,0.45692890
2010,04,-262.79359,-31.459528,-267.17348,7315.73678,875.780980,7437.66573,7052.94319,844.321452,7170.49224,292.640348,7.33217993,79.8025645,898.509873,0.00592222,1011.36409,34.8748492,388.602793,370.388472,19.6575566,292.810348,nan,nan,nan,nan,807.850061,800.224893,0.03517707,0.03501870,25.2913856,34.9748492,19.4903487,19.6603487,370.420171,378.186013,378.186013,17.3775913,-0.0249630,0.15489995,0.15996095,-7.7658422,-0.0050610,nan,0.43458646
2010,05,-298.59415,-39.025870,-293.77811,7601.57879,993.516530,7478.97268,7302.98464,954.490660,7185.19456,292.639039,7.35302588,80.9125987,920.552012,0.00735840,1012.04182,34.8891644,388.773463,367.625958,19.6488563,292.809039,nan,nan,nan,nan,800.560927,793.041287,0.03504165,0.03488451,25.1285823,34.9891644,19.4890395,19.6590395,367.767817,378.669544,378.669544,17.7327936,-0.0275855,0.15305553,0.15957418,-10.901726,-0.0065186,nan,0.44040263
2010,06,-246.08755,-32.187203,-250.18901,7404.43869,968.469016,7527.84600,7158.35113,936.281813,7277.65698,292.863239,7.53352251,81.8025618,926.753409,0.00618461,1013.36122,34.9033793,388.482449,368.806371,19.8144095,293.033239,nan,nan,nan,nan,784.112730,776.779836,0.03468466,0.03453037,25.3034232,35.0033793,19.7132392,19.8832392,369.821567,378.814327,378.814327,18.2047006,-0.0235810,0.15201055,0.15791928,-8.9927597,-0.0059087,nan,0.47026430
2010,07,-359.76531,-47.884958,-353.96264,7795.91437,1037.64043,7670.17382,7436.14906,989.755480,7316.21117,292.953344,7.57151999,83.4263233,958.410382,0.00413006,1014.27519,34.8739610,387.648359,366.933785,19.9268420,293.123344,nan,nan,nan,nan,774.334379,767.132168,0.03448439,0.03433176,25.2821528,34.9739610,19.8033441,19.9733441,367.580708,378.353542,378.353542,18.4415340,-0.0333620,0.15018060,0.15683932,-10.772834,-0.0066587,nan,0.48657421
2010,08,-280.39615,-35.819588,-275.87363,7486.23618,956.339424,7365.49043,7205.84002,920.519835,7089.61679,292.903752,7.29350054,80.1211235,911.325474,0.00441437,1013.80864,34.8549692,386.824155,367.671510,19.8445522,293.073752,nan,nan,nan,nan,776.580655,769.358984,0.03454170,0.03438864,25.2098215,34.9549692,19.7537523,19.9237523,368.817487,377.402615,377.402615,17.6390500,-0.0260113,0.15124253,0.15677838,-8.5851277,-0.0055358,nan,0.44365432
2010,09,-190.86502,-24.111910,-194.04610,7221.77506,912.324290,7342.13798,7030.91004,888.212380,7148.09187,292.832238,7.26008565,79.8016348,906.661130,0.00450003,1013.06447,34.8191994,386.852004,371.406636,19.7815927,293.002238,nan,nan,nan,nan,780.169199,772.904765,0.03463671,0.03448294,25.1348634,34.9191994,19.6822380,19.8522380,372.417497,377.181076,377.181076,17.5259907,-0.0182723,0.15337571,0.15715946,-4.7635792,-0.0037837,nan,0.43032597
2010,10,-276.45601,-34.854031,-271.99704,7403.78307,933.427643,7284.36721,7127.32705,898.573612,7012.37016,292.706080,7.39555715,79.0690927,886.296218,0.00669116,1012.97421,34.8572032,387.824498,368.011803,19.6952084,292.876080,nan,nan,nan,nan,786.771605,779.440955,0.03477784,0.03462299,24.9760748,34.9572032,19.5560800,19.7260800,368.421614,378.157457,378.157457,17.3742616,-0.0257357,0.15272119,0.15823445,-9.7358430,-0.0055132,nan,0.44392968
