YEAR,MONTH,NET FLUX TgC,MISSING FLUX TgC,30.5 DAY FLUX TgC,GROSS DOWNWARD FLUX TgC,MISSING GROSS DOWNWARD FLUX TgC,30.5 DAY GROSS DOWNWARD FLUX TgC,GROSS UPWARD FLUX TgC,MISSING GROSS UPWARD FLUX TgC,30.5 DAY GROSS UPWARD FLUX TgC,ST1_Kelvin_mean,WS1_mean,P1,air_pressure,OKS1,V_gas,pgas_air,SFUG_krig,pco2_sst,FT1_Kelvin_mean,FT1_stddev,FT1_N,ST1_stddev,ST1_N,windu10_moment2,windu10_moment3,SFUG_stddev,SC,scfnd,skin_solubility,fnd_solubility,PH2O,salinity_skin,ST1_mean,FT1_mean,OBPC,OAPC1,OK3,OF,OSFC,OIC1,dpCO2,Dconc,OFA11,OW1
2000,01,-190.75798,-20.497585,-187.68123,6927.10253,744.340430,6815.37507,6736.34455,723.842845,6627.69383,292.365263,8.06933952,0.00791279,1010.13953,34.8446550,368.622362,358.531656,355.996639,19.2152633,292.365263,nan,nan,nan,nan,69.9192236,647.712458,nan,811.458751,811.458751,0.03531824,0.03531824,24.6307491,34.8446550,19.2152637,19.2152637,355.996645,358.529246,16.5947021,-0.0171406,0.14989544,0.15220232,-2.5326005,-0.0023068,nan,0.52463751
2000,02,-157.99771,-16.926953,-166.17001,6573.12871,704.206640,6913.11813,6415.13099,687.279687,6746.94811,292.489444,8.10192579,0.00650631,1010.28615,34.8406400,368.924454,358.790913,357.417814,19.3394443,292.489444,nan,nan,nan,nan,70.5236467,655.531791,nan,808.401221,808.401221,0.03523395,0.03523395,24.8714769,34.8406400,19.3394447,19.3394447,357.417821,358.789202,16.5876169,-0.0151309,0.14999371,0.15196141,-1.3713817,-0.0019677,nan,0.53053987
2000,03,-154.17039,-16.553170,-151.68377,7022.98982,754.053641,6909.71579,6868.81943,737.500471,6758.03202,292.567407,8.07084598,0.00726714,1010.73444,34.8400927,369.145764,359.091386,357.996318,19.4174075,292.567407,nan,nan,nan,nan,70.4365409,657.157247,nan,808.594272,808.594272,0.03522223,0.03522223,25.0842584,34.8400927,19.4174078,19.4174078,357.996323,359.090651,16.3790534,-0.0138421,0.15042928,0.15206471,-1.0943274,-0.0016354,nan,0.53132897
2000,04,-135.64600,-14.680726,-137.90676,6631.01861,717.663369,6741.53559,6495.37261,702.982643,6603.62882,292.622821,7.99777855,0.00985150,1011.29247,34.8537578,369.410604,359.509393,358.362305,19.4728207,292.622821,nan,nan,nan,nan,69.2609612,640.884614,nan,806.429608,806.429608,0.03517267,0.03517267,25.2018691,34.8537578,19.4728210,19.4728210,358.362310,359.508884,16.1056075,-0.0126856,0.15036266,0.15205829,-1.1465737,-0.0016956,nan,0.51949921
2000,05,-136.68341,-14.902956,-134.47884,6707.04197,731.286666,6598.86387,6570.35856,716.383709,6464.38503,292.597954,7.97976561,0.01079301,1011.61473,34.8656824,369.488316,359.733058,356.881223,19.4479538,292.597954,nan,nan,nan,nan,68.4564581,627.009053,nan,804.219436,804.219436,0.03513926,0.03513926,25.1094346,34.8656824,19.4479541,19.4479541,356.881229,359.732108,16.0599891,-0.0124622,0.14958541,0.15199577,-2.8508793,-0.0024103,nan,0.50972091
2000,06,-106.95502,-11.730657,-108.73760,6662.71763,730.756322,6773.76292,6555.76261,719.025665,6665.02532,292.552783,8.13154296,0.01197958,1012.16851,34.8738383,369.037650,359.561113,356.505896,19.4027837,292.552783,nan,nan,nan,nan,70.9098125,659.200155,nan,800.805445,800.805445,0.03508688,0.03508688,24.9198079,34.8738383,19.4027839,19.4027839,356.505900,359.559156,16.8659502,-0.0101364,0.14932692,0.15166506,-3.0532567,-0.0023381,nan,0.53357965
2000,07,-56.283343,-6.1922248,-55.375547,7008.87429,771.107801,6895.82793,6952.59094,764.915577,6840.45238,292.599130,8.18852367,0.01217214,1012.79384,34.8418340,368.171146,358.950958,359.249262,19.4491296,292.599130,nan,nan,nan,nan,72.4364533,688.821288,nan,795.023837,795.023837,0.03497539,0.03497539,24.8960489,34.8418340,19.4491301,19.4491301,359.249268,358.948205,17.1649445,-0.0051781,0.15009980,0.15091600,0.30106386,-0.0008161,nan,0.55329487
2000,08,-32.459400,-3.5764562,-31.935862,6871.52917,757.121909,6760.69805,6839.06977,753.545453,6728.76219,292.659148,8.11201771,0.01257389,1012.86234,34.8306747,367.313477,358.114487,359.793361,19.5091484,292.659148,nan,nan,nan,nan,71.0751151,670.762775,nan,792.216042,792.216042,0.03491096,0.03491096,24.9710411,34.8306747,19.5091488,19.5091488,359.793366,358.111477,16.7128834,-0.0029907,0.15028495,0.15033307,1.68188875,-4.8120558,nan,0.53984921
2000,09,-35.167938,-3.8785063,-35.754071,6456.14812,712.018175,6563.75059,6420.98018,708.139669,6527.99652,292.641520,8.00026005,0.01294533,1012.41180,34.8112712,367.081384,357.718560,359.741452,19.4915200,292.641520,nan,nan,nan,nan,68.9955017,639.197909,nan,794.928719,794.928719,0.03497014,0.03497014,24.9998059,34.8112712,19.4915203,19.4915203,359.741456,357.715965,16.0559865,-0.0033514,0.15064583,0.15046584,2.02549161,0.00017998,nan,0.51746523
2000,10,-106.26562,-11.728211,-104.55166,6626.44942,731.340939,6519.57120,6520.18380,719.612727,6415.01954,292.553538,7.96535523,0.01287317,1012.07213,34.8425439,367.733675,358.274088,357.722197,19.4035382,292.553538,nan,nan,nan,nan,68.4551037,630.182229,nan,799.451118,799.451118,0.03506567,0.03506567,24.8888863,34.8425439,19.4035386,19.4035386,357.722203,358.271713,15.8712920,-0.0098074,0.15002356,0.15112441,-0.5495100,-0.0011008,nan,0.51137523
2000,11,-168.97624,-18.587778,-171.79251,6488.40395,713.739471,6596.54401,6319.42770,695.151693,6424.75150,292.490721,8.01456891,0.01260509,1011.39929,34.8609694,368.707525,359.021960,355.533726,19.3407208,292.490721,nan,nan,nan,nan,69.0069503,633.044887,nan,801.958616,801.958616,0.03512024,0.03512024,24.7728677,34.8609694,19.3407212,19.3407212,355.533733,359.019487,16.1795520,-0.0160617,0.14934795,0.15165428,-3.4857546,-0.0023063,nan,0.51454243
2000,12,-211.79888,-23.025960,-208.38277,6848.05331,744.494030,6737.60084,6636.25442,721.468069,6529.21806,292.383646,8.05978376,0.01220539,1010.56925,34.8606191,369.341879,359.393078,355.523709,19.2336466,292.383646,nan,nan,nan,nan,69.7196490,643.370875,nan,808.340486,808.340486,0.03525686,0.03525686,24.6186717,34.8606191,19.2336468,19.2336468,355.523712,359.390665,16.5219075,-0.0192549,0.14971605,0.15235055,-3.8669529,-0.0026345,nan,0.52188155
2000,ALL,-1495.0332,-162.99787,-1495.0332,80826.5367,8812.21431,80826.5367,79331.5035,8649.21644,79331.5035,292.543090,8.05770722,0.01078099,1011.51900,34.8472365,368.587524,358.893258,357.554730,19.3930898,292.543090,nan,nan,nan,nan,69.9337948,649.404552,nan,802.716706,802.716706,0.03512396,0.03512396,24.9136595,34.8472365,19.3930902,19.3930902,357.554736,358.891273,16.4252740,-0.0115447,0.14997644,0.15157207,-1.3365371,-0.0015956,nan,0.52564512
