dataset_name	lat	lon	temperature	windspeed	wind_moment2	wind_moment3	ice_coverage	air_pressure	salinity	xCO2air	fCO2water	year	month	day	hour	minute	second
steinhoff	45.727	-56.492	16.150	4.229	17.884	75.632	0.000	999.700	31.630	393.173	370.600	2013	10	4	15	41	25
steinhoff	45.727	-56.492	16.170	4.229	17.884	75.632	0.000	1000.500	31.610	393.173	370.200	2013	10	4	15	42	24
steinhoff	45.729	-56.479	16.180	4.229	17.884	75.632	0.000	1000.500	31.600	393.173	370.100	2013	10	4	15	43	23
steinhoff	45.729	-56.479	16.180	4.229	17.884	75.632	0.000	1000.500	31.590	393.173	370.100	2013	10	4	15	44	22
steinhoff	45.731	-56.467	16.190	4.229	17.884	75.632	0.000	1000.000	31.580	393.173	370.200	2013	10	4	15	45	20
steinhoff	45.731	-56.467	16.190	4.229	17.884	75.632	0.000	1000.000	31.570	393.173	370.200	2013	10	4	15	46	19
steinhoff	45.733	-56.454	16.190	4.229	17.884	75.632	0.000	1000.000	31.560	393.173	370.000	2013	10	4	15	47	18
steinhoff	45.733	-56.454	16.190	4.229	17.884	75.632	0.000	1000.500	31.560	393.173	369.900	2013	10	4	15	48	17
steinhoff	45.733	-56.454	16.190	4.229	17.884	75.632	0.000	1001.400	31.560	393.173	369.600	2013	10	4	15	49	16
steinhoff	45.735	-56.442	16.190	4.229	17.884	75.632	0.000	1001.200	31.560	393.173	369.600	2013	10	4	15	50	15
steinhoff	45.735	-56.442	16.190	4.229	17.884	75.632	0.000	1001.400	31.560	393.173	369.700	2013	10	4	15	51	14
steinhoff	45.737	-56.429	16.190	4.229	17.884	75.632	0.000	1001.200	31.570	393.173	369.500	2013	10	4	15	52	12
steinhoff	45.737	-56.429	16.190	4.229	17.884	75.632	0.000	1001.400	31.560	393.173	369.000	2013	10	4	15	53	11
steinhoff	45.739	-56.416	16.180	4.229	17.884	75.632	0.000	1001.400	31.570	393.173	368.800	2013	10	4	15	54	10
steinhoff	45.739	-56.416	16.180	4.229	17.884	75.632	0.000	1001.000	31.570	393.173	368.800	2013	10	4	15	55	9
steinhoff	45.741	-56.404	16.180	4.229	17.884	75.632	0.000	1001.300	31.560	393.173	368.700	2013	10	4	15	56	8
steinhoff	45.741	-56.404	16.180	4.229	17.884	75.632	0.000	1001.100	31.560	393.173	368.500	2013	10	4	15	57	17
steinhoff	45.743	-56.391	16.190	4.229	17.884	75.632	0.000	1000.800	31.550	393.173	368.300	2013	10	4	15	58	16
steinhoff	45.743	-56.391	16.190	4.229	17.884	75.632	0.000	1000.800	31.540	393.173	368.300	2013	10	4	15	59	15
steinhoff	45.745	-56.379	16.190	4.229	17.884	75.632	0.000	1000.800	31.520	393.173	368.700	2013	10	4	16	0	14
steinhoff	45.745	-56.379	16.190	4.229	17.884	75.632	0.000	1001.600	31.510	393.173	368.900	2013	10	4	16	1	12
steinhoff	45.748	-56.366	16.200	4.229	17.884	75.632	0.000	1001.200	31.500	393.172	368.500	2013	10	4	16	2	11
steinhoff	45.748	-56.366	16.200	4.229	17.884	75.632	0.000	1001.200	31.490	393.172	368.300	2013	10	4	16	3	10
steinhoff	45.750	-56.354	16.200	4.229	17.884	75.632	0.000	1001.200	31.480	393.172	368.400	2013	10	4	16	4	9
steinhoff	45.750	-56.354	16.210	4.229	17.884	75.632	0.000	1000.800	31.480	393.172	368.700	2013	10	4	16	5	18
steinhoff	45.752	-56.341	16.220	4.793	22.972	110.105	0.000	1001.400	31.470	393.172	369.500	2013	10	4	16	6	17
