YEAR,MONTH,NET FLUX TgC,MISSING FLUX TgC,30.5 DAY FLUX TgC,GROSS DOWNWARD FLUX TgC,MISSING GROSS DOWNWARD FLUX TgC,30.5 DAY GROSS DOWNWARD FLUX TgC,GROSS UPWARD FLUX TgC,MISSING GROSS UPWARD FLUX TgC,30.5 DAY GROSS UPWARD FLUX TgC,scfnd,OW1,SFUG_krig,dpCO2,ST1_stddev,skin_solubility,FT1_stddev,OFA11,ST1_mean,PH2O,FT1_N,pco2_sst,OKR,P1,FT1_Kelvin_mean,pco2_air,salinity_skin,SFUG_stddev,OKB1,OF,OK1,Dconc,air_pressure,WS1_mean,windu10_moment2,windu10_moment3,ST1_N,OIC1,FKo07,FT1_mean,OKD,OK3,OAPC1,ST1_Kelvin_mean,OKS1,fnd_solubility,OSFC,VCO2,OBPC,SC
2010,01,-193.73754,-20.817750,-190.61275,7607.42066,817.442899,7484.72033,7413.68311,796.625148,7294.10758,811.458751,0.52463751,355.996639,-2.5326005,nan,0.03531824,nan,nan,19.2152637,24.6307491,nan,19.2152633,nan,0.00791279,292.365263,358.531656,34.8446550,nan,nan,-0.0174083,nan,-0.0023069,1010.13953,8.06933952,69.9192236,647.712458,nan,0.15856660,nan,19.2152637,nan,17.5850095,373.529246,292.365263,34.8446550,0.03531824,0.15625969,368.622362,370.996645,811.458751
2010,02,-154.18173,-16.518131,-167.94796,6965.79378,746.274484,7587.73966,6811.61205,729.756353,7419.7917,808.401221,0.53053987,357.417814,-1.3713817,nan,0.03523395,nan,nan,19.3394447,24.8714769,nan,19.3394443,nan,0.00650631,292.489444,358.790913,34.8406400,nan,nan,-0.0152928,nan,-0.0019677,1010.28615,8.10192579,70.5236467,655.531791,nan,0.15831050,nan,19.3394447,nan,17.5814282,373.789202,292.489444,34.8406400,0.03523395,0.15634278,368.924454,372.417821,808.401221
2010,03,-155.59928,-16.706589,-153.08962,7708.02434,827.605331,7583.70137,7552.42505,810.898742,7430.61175,808.594272,0.53132897,357.996318,-1.0943274,nan,0.03522223,nan,nan,19.4174078,25.0842584,nan,19.4174075,nan,0.00726714,292.567407,359.091386,34.8400927,nan,nan,-0.0139704,nan,-0.0016354,1010.73444,8.07084598,70.4365409,657.157247,nan,0.15841168,nan,19.4174078,nan,17.3757166,374.090651,292.567407,34.8400927,0.03522223,0.15677624,369.145764,372.996323,808.594272
2010,04,-137.06734,-14.834555,-139.35180,7284.58432,788.397625,7405.99406,7147.51697,773.563069,7266.64226,806.429608,0.51949921,358.362305,-1.1465737,nan,0.03517267,nan,nan,19.4728210,25.2018691,nan,19.4728207,nan,0.00985150,292.622821,359.509393,34.8537578,nan,nan,-0.0128185,nan,-0.0016956,1011.29247,7.99777855,69.2609612,640.884614,nan,0.15839633,nan,19.4728210,nan,17.1042444,374.508884,292.622821,34.8537578,0.03517267,0.15670069,369.410604,373.362310,806.429608
2010,05,-139.91166,-15.254941,-137.65502,7373.90520,803.996542,7254.97125,7233.99354,788.741600,7117.31622,804.219436,0.50972091,356.881223,-2.8508793,nan,0.03513926,nan,nan,19.4479541,25.1094346,nan,19.4479538,nan,0.01079301,292.597954,359.733058,34.8656824,nan,nan,-0.0127565,nan,-0.0024103,1011.61473,7.97976561,68.4564581,627.009053,nan,0.15832780,nan,19.4479541,nan,17.0576876,374.732108,292.597954,34.8656824,0.03513926,0.15591742,369.488316,371.881229,804.219436
2010,06,-110.24112,-12.091072,-112.07847,7312.85756,802.062641,7434.73852,7202.61643,789.971568,7322.66004,800.805445,0.53357965,356.505896,-3.0532567,nan,0.03508688,nan,nan,19.4027839,24.9198079,nan,19.4027837,nan,0.01197958,292.552783,359.561113,34.8738383,nan,nan,-0.0104479,nan,-0.0023381,1012.16851,8.13154296,70.9098125,659.200155,nan,0.15798765,nan,19.4027839,nan,17.8615214,374.559156,292.552783,34.8738383,0.03508688,0.15564948,369.037650,371.505900,800.805445
2010,07,-56.207220,-6.1838498,-55.300652,7684.11483,845.396942,7560.17749,7627.90761,839.213092,7504.87684,795.023837,0.55329487,359.249262,0.30106386,nan,0.03497539,nan,nan,19.4491301,24.8960489,nan,19.4491296,nan,0.01217214,292.599130,358.950958,34.8418340,nan,nan,-0.0051710,nan,-0.0008162,1012.79384,8.18852367,72.4364533,688.821288,nan,0.15721849,nan,19.4491301,nan,18.1611107,373.948205,292.599130,34.8418340,0.03497539,0.15640229,368.171146,374.249268,795.023837
2010,08,-30.914953,-3.4062852,-30.416325,7539.81015,830.754744,7418.20031,7508.89520,827.348459,7387.78399,792.216042,0.53984921,359.793361,1.68188875,nan,0.03491096,nan,nan,19.5091488,24.9710411,nan,19.5091484,nan,0.01257389,292.659148,358.114487,34.8306747,nan,nan,-0.0028484,nan,-4.8120958,1012.86234,8.11201771,71.0751151,670.762775,nan,0.15662395,nan,19.5091488,nan,17.7105465,373.111477,292.659148,34.8306747,0.03491096,0.15657583,367.313477,374.793366,792.216042
2010,09,-33.315730,-3.6742350,-33.870992,7094.33626,782.400939,7212.57520,7061.02053,778.726704,7178.70421,794.928719,0.51746523,359.741452,2.02549161,nan,0.03497014,nan,nan,19.4915203,24.9998059,nan,19.4915200,nan,0.01294533,292.641520,357.718560,34.8112712,nan,nan,-0.0031749,nan,0.00017998,1012.41180,8.00026005,68.9955017,639.197909,nan,0.15676739,nan,19.4915203,nan,17.0536022,372.715965,292.641520,34.8112712,0.03497014,0.15694738,367.081384,374.741456,794.928719
2010,10,-107.03389,-11.813003,-105.30754,7283.92324,803.904312,7166.44060,7176.88934,792.091308,7061.13306,799.451118,0.51137523,357.722197,-0.5495100,nan,0.03506567,nan,nan,19.4035386,24.8888863,nan,19.4035382,nan,0.01287317,292.553538,358.274088,34.8425439,nan,nan,-0.0098783,nan,-0.0011008,1012.07213,7.96535523,68.4551037,630.182229,nan,0.15744317,nan,19.4035386,nan,16.8667197,373.271713,292.553538,34.8425439,0.03506567,0.15634231,367.733675,372.722203,799.451118
